ID,Outcome,Oas1b_status,Tissue,UNC_ID,Experiment,Timepoint,fc.mean
CC(003x062)/F1_SP_IFITM1_2,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFITM1,2,1.454084508
CC(003x062)/F1_SP_IFITM1_4,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFITM1,4,1.149495187
CC(003x062)/F1_SP_IFITM1_7,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFITM1,7,0.905703384
CC(003x062)/F1_SP_IFNb1_12,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFNb1,12,0.388323933
CC(003x062)/F1_SP_IFNb1_2,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFNb1,2,0.762424238
CC(003x062)/F1_SP_IFNb1_4,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFNb1,4,0.498270202
CC(003x062)/F1_SP_IFNb1_7,Asymptomatic,Functional+Null,Spleen,CC(003x062)/F1,IFNb1,7,0.558600346
CC(055x028)/F1_SP_IFITM1_12,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFITM1,12,1.667798168
CC(055x028)/F1_SP_IFITM1_2,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFITM1,2,1.029698914
CC(055x028)/F1_SP_IFITM1_4,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFITM1,4,1.120475444
CC(055x028)/F1_SP_IFITM1_7,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFITM1,7,0.820173069
CC(055x028)/F1_SP_IFNb1_12,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFNb1,12,2.005862422
CC(055x028)/F1_SP_IFNb1_2,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFNb1,2,1.088494374
CC(055x028)/F1_SP_IFNb1_4,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFNb1,4,4.312592723
CC(055x028)/F1_SP_IFNb1_7,Symptomatic,Null+Functional,Spleen,CC(055x028)/F1,IFNb1,7,0.43313493
